id,title,authors,category,tags,publisher,language,pages,price,rating,in_stock,publish_date,description
BK001,The Pragmatic Programmer,Andrew Hunt|David Thomas,Software Engineering,programming|best-practices|career,Addison-Wesley,English,352,34.95,4.7,True,1999-10-30T00:00:00Z,From journeyman to master: a guide to pragmatic programming for software engineers who want to become better at their craft.
BK002,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,Software Engineering,programming|clean-code|refactoring,Prentice Hall,English,464,39.99,4.6,True,2008-08-01T00:00:00Z,"Even bad code can function. But if code isn't clean, it can bring a development organization to its knees."
BK003,Introduction to Algorithms,Thomas H. Cormen|Charles E. Leiserson|Ronald L. Rivest|Clifford Stein,Computer Science,algorithms|data-structures|academic,MIT Press,English,1312,89.0,4.5,True,2009-07-31T00:00:00Z,A comprehensive textbook on algorithms covering a broad range of topics in depth.
BK004,Designing Data-Intensive Applications,Martin Kleppmann,Distributed Systems,databases|distributed|big-data,O'Reilly Media,English,616,49.99,4.8,True,2017-03-16T00:00:00Z,"The big ideas behind reliable, scalable, and maintainable systems."
BK005,Apache Solr Search Patterns,Jayant Kumar,Search Engines,solr|search|lucene,Packt Publishing,English,316,39.99,4.0,False,2015-04-30T00:00:00Z,Leverage the power of Apache Solr to power up your business by navigating your users to their data quickly and efficiently.
BK006,Lucene in Action,Erik Hatcher|Otis Gospodnetic|Michael McCandless,Search Engines,lucene|search|indexing,Manning Publications,English,532,49.99,4.4,True,2010-07-01T00:00:00Z,"A guide to the Java search engine library, covering everything from indexing to advanced search techniques."
BK007,Effective Java,Joshua Bloch,Software Engineering,java|programming|best-practices,Addison-Wesley,English,416,44.99,4.7,True,2017-12-27T00:00:00Z,"Best practices for the Java platform, third edition fully updated for Java 7, 8, and 9."
BK008,"The Art of Computer Programming, Volumes 1-4A",Donald E. Knuth,Computer Science,algorithms|academic|classic,Addison-Wesley,English,3168,199.99,4.9,True,2011-03-03T00:00:00Z,The definitive multi-volume work on classical computer science algorithms and analysis.
BK009,Hadoop: The Definitive Guide,Tom White,Distributed Systems,hadoop|big-data|mapreduce,O'Reilly Media,English,756,59.99,4.3,True,2015-04-11T00:00:00Z,Storage and analysis at internet scale with Apache Hadoop.
BK010,Kafka: The Definitive Guide,Neha Narkhede|Gwen Shapira|Todd Palino,Distributed Systems,kafka|streaming|messaging,O'Reilly Media,English,322,47.99,4.4,True,2017-09-15T00:00:00Z,Real-time data and stream processing at scale with Apache Kafka.
BK011,Python Crash Course,Eric Matthes,Programming Languages,python|beginner|tutorial,No Starch Press,English,544,39.95,4.7,True,2019-05-03T00:00:00Z,"A hands-on, project-based introduction to programming with Python."
BK012,Fluent Python,Luciano Ramalho,Programming Languages,python|advanced|best-practices,O'Reilly Media,English,792,54.99,4.6,True,2015-08-20T00:00:00Z,"Clear, concise, and effective programming with idiomatic Python."
BK013,JavaScript: The Good Parts,Douglas Crockford,Programming Languages,javascript|web|best-practices,O'Reilly Media,English,176,29.99,4.1,True,2008-05-15T00:00:00Z,"Unearthing the excellence in JavaScript, the elegant subset of the language."
BK014,You Don't Know JS Yet: Get Started,Kyle Simpson,Programming Languages,javascript|fundamentals|web,Independently Published,English,143,19.99,4.5,True,2020-01-28T00:00:00Z,"First in the second edition of the popular YDKJS series, focusing on JavaScript fundamentals."
BK015,Cracking the Coding Interview,Gayle Laakmann McDowell,Career,interview|algorithms|career,CareerCup,English,696,39.95,4.5,True,2015-07-01T00:00:00Z,189 programming questions and solutions for technical interviews.
BK016,System Design Interview - An Insider's Guide,Alex Xu,Career,system-design|interview|scalability,Independently Published,English,322,35.0,4.6,True,2020-06-12T00:00:00Z,An insider's guide to system design interviews with step-by-step frameworks.
BK017,Deep Learning,Ian Goodfellow|Yoshua Bengio|Aaron Courville,Artificial Intelligence,deep-learning|machine-learning|neural-networks,MIT Press,English,800,78.0,4.4,True,2016-11-18T00:00:00Z,An introduction to a broad range of topics in deep learning by leading experts.
